loan_id,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,mths_since_last_major_derog,policy_code
L0014,6500,3725,36 months,10.96%,121.89,B,B5,Photography By Foschi  LLC,10+ years,RENT,44724,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=353472,Need help making ends meet for the wedding.,wedding,Wedding,198xx,DE,17.41,0,10/1/96,3,NA,NA,3,0,886,25.3,5,f,NA,1
L0015,5000,5000,36 months,7.29%,155.05,A,A4,Bridgepoint Education,1 year,RENT,1.00E+05,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=688483,"  Borrower added on 02/28/11 > I a Database Developer at Bridgpoint and would like to use this loan to pay a lump sum in taxes, as well as pay off a credit card that is 29% rate.  This is a citi bank card and I called them to try and reduce the interest rate, but they said the only way I could do that is if I did not pay a ontime and then they would consider.  I want to keep my credit score in the 700 range was not willing to default on my card.<br/>",other,Tax and Debt Consolidation,920xx,CA,18.66,0,10/1/99,0,NA,NA,13,0,23484,70.1,37,f,NA,1
L0016,25000,25000,60 months,11.71%,552.46,B,B3,SUBURBAN LOCK SERVICE,10+ years,MORTGAGE,75000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1016639,Borrower added on 11/07/11 > I HAVE NEVER MISSED A PAYMENT ON ANY ACCOUNT AND I HAVE BEEN EMPLOYED BY THE SAME COMPANY FOR 17 YEARS.<br/>,debt_consolidation,Debt Consolidation Loan,604xx,IL,13.42,0,1/1/93,0,NA,NA,5,0,18591,37.9,19,f,NA,1
L0017,7350,7350,36 months,7.66%,229.18,A,A5,,10+ years,OWN,22000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=649879,Borrower added on 01/09/11 > Loan proceeds will assist in the necessary expansion of a 30 year established (Debt Free) Auto Repair Faclilty...<br/>,other,Suitable Select,324xx,FL,14.95,0,9/1/93,0,NA,NA,4,0,8511,78.8,9,f,NA,1
L0018,4000,4000,60 months,13.35%,91.74,C,C4,Stryker  Tams and Dill,< 1 year,RENT,30000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=637535,Borrower added on 12/22/10 > I'm applying for this loan to get rid of my credit card debt and to also make my money not so tight every month.<br/>,debt_consolidation,Debt Loan,076xx,NJ,19.32,0,1/1/03,0,NA,NA,9,0,5276,62.1,19,f,NA,1
L0019,20000,20000,36 months,12.42%,668.31,B,B4,San Jacinto Unified School District,3 years,RENT,63000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1039010,Borrower added on 11/22/11 > These funds will be used to pay off credit card debt and lower total monthly payments/interest rates.  I have a stable job and steady income.<br>,debt_consolidation,Debt Consolidation,925xx,CA,19.09,0,11/1/99,1,NA,NA,12,0,16167,70.3,27,f,NA,1
L0020,30000,30000,36 months,11.49%,989.14,B,B4,Office of the Federal Defender,3 years,MORTGAGE,120000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=867857,Borrower added on 08/30/11 > I need a downpayment loan to purchase my second real estate investment property.<br/>,house,Home Loan Downpayment,606xx,IL,5.22,1,12/1/96,3,13,NA,5,0,49805,0,36,f,NA,1
L0021,12000,12000,36 months,16.00%,421.89,D,D5,HCG Medical,2 years,MORTGAGE,72000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=448280,"I am looking for $10,000 to fund cash flow on a home building project that will yeild a very nice return within a few months.  Would like to setup a 1 year note with no pre-pay penalties.  Looking to close a deal by Monday or Tuesday. 549803 added on 10/12/09 > I am still interested in getting this loan.  Looking to close as soon as it gets funded.",small_business,Home Building,741xx,OK,17.48,0,11/1/97,6,NA,NA,13,0,1249,6.1,23,f,NA,1
L0022,20000,20000,36 months,11.99%,664.2,B,B5,Eastern Virginia Medical School,1 year,RENT,350000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=785827,,credit_card,New Loan,234xx,VA,12.22,0,9/1/94,0,34,NA,8,0,27733,80.4,24,f,NA,1
L0023,25000,16900,60 months,16.45%,415.03,E,E1,LOS ANGELES COUNTY - DPSS,10+ years,RENT,56000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=518405,Borrower added on 05/15/10 > Would like consolidate my debt to make easier payment options.  I have had a stable job for the last 11 1/2 years.  I'm looking for an opportunity to establelize myself financially.<br/>,debt_consolidation,SURVIVE,908xx,CA,15.43,0,6/1/95,0,NA,NA,6,0,4971,43.5,19,f,NA,1
L0024,10000,10000,36 months,12.53%,334.67,B,B5,Presidential Airways,1 year,MORTGAGE,191000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=474006,Borrower added on 01/04/10 > Need some money to cover addtional helicopter Flight Instrument Instructor Rating and Airline Transport Rating.  I am in between assignments at work and would like to take advantage of this time to get these ratings.<br/>,educational,CFII Loan,324xx,FL,12.2,0,3/1/87,0,49,NA,16,0,444,2.5,54,f,NA,1
L0025,6900,6900,36 months,9.88%,222.26,B,B1,University of New Hampshire,10+ years,RENT,47480,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=487786,"  Borrower added on 02/21/10 > This loan wil be used to payoff a fairly high interest personal loan that I used to payoff very high interest rate credit cards. All of my credit card accounts are paid in full. I have an excellent payment history on all revolving and installment accounts, always paying on time or early.<br/>My monthly living expenses amount to 18%-22% of my monthly net income. <br/>My job is very stable, having been employed in the IT department of a state university for 22 years.<br/>",other,Paying off a personal loan,038xx,NH,16.81,0,1/1/99,3,32,NA,10,0,150,3.1,24,f,NA,1
L0026,26000,26000,60 months,18.25%,663.78,F,F1,northrop grumman,8 years,MORTGAGE,33600,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=670629,,major_purchase,personal loan for machinery,236xx,VA,3.93,0,2/1/00,1,67,NA,5,0,8482,73.8,20,f,NA,1
L0027,6000,6000,36 months,10.59%,195.27,B,B2,National Action Financial Services,2 years,MORTGAGE,42000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=814328,,other,personal,142xx,NY,15.89,0,5/1/00,1,NA,NA,10,0,20691,51.6,20,f,NA,1
L0028,5400,5400,36 months,7.42%,167.78,A,A3,Holyoke Credit Union,5 years,MORTGAGE,40000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=779107,Borrower added on 06/08/11 > This debt consolidation loan will be used to pay down a high interest revolving credit card to increase my credit score by changing to a fixed installment loan. The remainder will go to pay off a small unsecured loan that is also a high rate.<br/> Borrower added on 06/08/11 > I have been with my employer for over five years in a stable industry. My credit history defines my repayment history and shows I am neither overextended nor ever late on payments. Thank you!<br/>,debt_consolidation,Debt Consolidation,010xx,MA,10.71,0,7/1/05,0,NA,NA,11,0,2459,44.7,26,f,NA,1
L0029,7500,7500,36 months,15.45%,261.65,E,E5,Innovative Technology Holdings,3 years,MORTGAGE,55000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=351421,"I am requesting a loan to consolidate some of my higher intrest rate credit cards.  I use these cards for business only, but I had got a few that I am carring a balance on that I would like to consolidate.    My personal business generates around $250,000 a year as a ebay drop off location and computer sales and service.  thanks for your consideration",credit_card,A little Debt Consolidation,614xx,IL,24.94,0,4/1/94,8,NA,NA,16,0,41705,95.2,24,f,NA,1
L0030,8000,8000,36 months,14.61%,275.81,D,D1,Edmunds.com Inc,4 years,RENT,120000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=447028,Saw this wonderful motorcycle and would be nice to able to purchase it.,other,Motorcycle Loan,918xx,CA,0,0,7/1/95,0,48,NA,2,0,0,0,7,f,NA,1
L0031,12025,12025,36 months,13.49%,408.02,C,C2,iCrossing Inc.,< 1 year,MORTGAGE,1.00E+05,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=801761,"  Borrower added on 07/01/11 > I am hoping to use this loan to consolidate two credit cards into one smaller payment. I have a full time, stable job and have never missed a payment on any monthly bills. Thank you.<br/>",debt_consolidation,Debt Consolidation Loan,200xx,DC,19.99,0,10/1/01,1,58,NA,6,0,24678,79,22,f,NA,1
L0032,7200,7200,60 months,13.80%,166.79,C,C4,US Postal Service,3 years,MORTGAGE,48000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=651578,Borrower added on 01/10/11 > I will be using this money to help me consolidate my current debt.  Thank you very much for considering funding this loan.<br/>,debt_consolidation,Debt Consolidation,287xx,NC,22.59,0,6/1/97,2,52,NA,10,0,2894,36.2,13,f,NA,1
L0033,11600,11600,60 months,13.49%,266.86,C,C2,Sasquatch Advertising,5 years,RENT,41000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=841051,Borrower added on 08/09/11 > I am a very responsible and have a steady job at the same company for 5 and half years. I am consolidating credit cards to payoff college debt. I haven't missed credit payments and have a clean credit report. This is one last step in working to be debt free in hopefully 2 to 3 years. Thank you for investing in me.<br/>,debt_consolidation,Credit Card Consolidation,972xx,OR,20.69,0,10/1/00,0,39,NA,6,0,10949,61.9,12,f,NA,1
L0034,2800,2800,36 months,7.40%,86.97,A,A2,Millen United Methodist Church,1 year,RENT,8000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=434022,I need a loan to finance a new vehicle. I have always done well with paying my bills on time and money management. Thank you for your condieration of this loan.,car,Automobile Loan,304xx,GA,15.15,0,8/1/03,0,NA,NA,6,0,2146,20.2,16,f,NA,1
L0035,25000,25000,60 months,14.91%,593.57,D,D2,Graham Packagaing Company,10+ years,MORTGAGE,80000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=760328,"I pay my bills on time each month, but the balance doesn't seem to be going down. I want a set date that my bills will be completely paid off. I have worked at my job for 32 years, and want to be debt free. Because retirement is not that far off.",debt_consolidation,Getting ready for retirement!,660xx,KS,8.14,0,2/1/96,0,NA,NA,10,0,14563,68.1,23,f,NA,1
L0036,20000,20000,36 months,10.99%,654.68,B,B3,Headstrong Services LLC,2 years,RENT,95000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=790748,,credit_card,Debt Consolidation,232xx,VA,13.65,0,10/1/04,0,NA,NA,8,0,27686,54.3,26,f,NA,1
L0037,12500,12500,36 months,10.25%,404.81,B,B2,Citi Financial,4 years,RENT,60000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=496066,Borrower added on 03/19/10 > This loan is to consolidate my time share loan from a 10 year 16.99% interest rate to a lower interest rate and a shorter term loan.  I have had my current loan for 2 years and have only paid it down by $1000.  Thus my need to refinance.  Also to clarify my position at Citi Financial is entitled a Lead.  A Lead is an assistant to the Manager of about 15-20 agents at a collections call center.  We manage auto loans.<br/>,debt_consolidation,Consolidate Tahiti Village,802xx,CO,9.46,0,8/1/98,0,60,NA,14,0,9936,16.7,29,f,NA,1
L0038,6000,6000,36 months,10.59%,195.27,B,B2,LabCorp of America,2 years,RENT,42000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=874918,"  Borrower added on 09/06/11 > I was offered lower interest rate and apr for a new loan due to my diligence in repaying my current loan promptly prior to each due date. At this point, I want to take advantage of my higher credit score and lower interest rate to pay off my previous loan. Thank you for your help!<br/>",debt_consolidation,Refinance Debt Consolidation,918xx,CA,12.74,0,7/1/01,3,62,NA,11,0,528,9.1,22,f,NA,1
L0039,7000,7000,36 months,11.11%,229.54,B,B5,Neurowave Medical Technologies,3 years,OWN,36400,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=729647,"  Borrower added on 04/14/11 > Hello, Im looking to get this loan for Debt Consolidation. I currently work as a Graphic Designer. Only graphic designer here, so they really need me here. I have a couple credit cards that I want to make into 1 payment. I live at home with my parents so I dont pay mortgage or rent. I also dont make a car payment since mine is fully paid. I am left with $1600 for myself after all my payments are made monthly so paying this off wont be a problem. I am a trustworthy borrower. Any Questions just ask me...Thank you<br/>",debt_consolidation,Debt Consolidation,606xx,IL,10.98,0,1/1/04,1,NA,NA,8,0,6772,72.8,18,f,NA,1
L0040,12000,12000,36 months,13.06%,404.68,C,C2,Arthur J Gallagher Risk Management,1 year,RENT,65400,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=653370,Borrower added on 01/12/11 > To refinance some high interest credit cards.<br/> Borrower added on 01/12/11 > I work in insurance and I work two jobs and have been in the insurance industry for 10 years.<br/>,credit_card,Credit Card,932xx,CA,17.71,0,2/1/95,3,NA,NA,8,0,13041,81.5,36,f,NA,1
L0041,13300,8275,60 months,11.12%,180.42,B,B3,MediMedia,2 years,RENT,58000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=525814,"  Borrower added on 06/03/10 > Now 5 years removed from grad school, I've paid off 80% of my $50K Citi Assist loan. Now, the note has come due and I need to pay off the balance. I work two well paying jobs: Financial Analyst by day and Web Developer at night. I earn over $5,000 per month and only have about $3,000 in monthly expenses. I am also due for a bonus at work which will mostly go toward paying off the balance of this loan.  Thank you kindly for your help and consideration!<br/> Borrower added on 06/10/10 > More Information:<br/>Employer: MediMedia USA<br/>Position: Sr. Financial Analyst<br/>Salary: $65,000 + $5-10K Bonus<br/>+ night job: $1-2K per project<br/><br/>Monthly Expenses: $2,500<br/>$800 Rent<br/>$350 Car<br/>$150  Insurance<br/>$100  Utilities<br/>$600  Food & entertainment<br/>$300  Debt Payments<br/>$200  Other<br/><br/>Current Assets: Approx. $30K (Savings, Checking, 401K)<br/>",debt_consolidation,Help me pay off my student loans!,070xx,NJ,13.55,0,9/1/01,3,64,NA,7,0,7616,58.1,16,f,NA,1
L0042,14000,14000,60 months,13.99%,325.69,C,C3,Miele Inc,4 years,RENT,315600,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=851565,"  Borrower added on 08/14/11 > This Loan Is to help pay off my debt, which includes credit card bills and paying off my car. i have good credit and have always been on time with payments. this loan will help minimize all my monthly payments and have extra money in my pocket. I currently have a very stable job which i been at for the last 4 years and counting :). so there is a brief summery of my life and what i need help with. i hope some of you investors can take my current debt situation into consideration and help a friend out. thank you so much in advance!<br/>null",debt_consolidation,Debt Consolidation,088xx,NJ,0.98,0,2/1/07,2,NA,NA,6,0,1555,24.7,10,f,NA,1
L0043,3000,3000,36 months,5.79%,90.99,A,A2,Indus Corp,2 years,MORTGAGE,45000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=612229,Borrower added on 11/15/10 > New vinyl windows keep the heat<br/>,home_improvement,Windows keep the heat,210xx,MD,7.79,0,8/1/97,1,NA,NA,9,0,780,4.1,19,f,NA,1
L0044,6000,6000,36 months,7.51%,186.66,A,A4,Coyote Point Systems,5 years,RENT,55000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=458148,,debt_consolidation,Karilyn,060xx,CT,22.28,0,3/1/00,2,NA,NA,13,0,14217,20.2,25,f,NA,1
L0045,9000,9000,36 months,7.14%,278.48,A,A3,Saint Louis University,4 years,MORTGAGE,141000,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=573837,,major_purchase,Horse,633xx,MO,8.31,0,9/1/92,3,NA,NA,10,0,55142,45.8,24,f,NA,1
L0046,16675,16675,60 months,11.71%,368.49,B,B3,Grande Ronde Hospital,7 years,MORTGAGE,72000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1041749,Borrower added on 11/29/11 > I plan on purchasing a Harley Davidson motorcycle. I have an excellent history of not being late with loan payments. I have a college degree and have worked for the same hospital for over 7 years. Thank you.<br>,car,Harley loan,978xx,OR,8.68,0,10/1/95,0,NA,NA,10,0,18885,66.3,43,f,NA,1
L0047,15000,15000,36 months,13.92%,512.06,C,C4,Sauk Prairie Memorial Hospital,< 1 year,MORTGAGE,35000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=447571,"About Me:  I am currently a Labor and Delivery Nurse near Madison, WI.  My husband is the manager of HR Systems for a Fortune 500 company. We are both employed full-time (although I'm out on maternity leave) and our combined income is close to $140,000.00 per year.  We have 3 children and work opposite of each other so we don't have child care expenses.  Purpose of Loan:  I have a couple of personal loans with high interest rates and two credit cards that I would like to consolidate so I can have the ease of paying just one bill.  While we are able to meet all of our financial obligations, we are carrying two mortgages as we had to relocate for my husband's job and sale of our former residence is taking longer than hopped.  As such, we are looking to consolidate some home improvement loans that we'd taken out and credit cards with 0% introductory rates before the introductory periods come to an end.    My financial situation:  We both currently have a good jobs and are able to comfortably make the monthly loan payments.  We am a very hard working individuals and always pay our debts.  My goal is to pay off this loan in less than 1 year so that I may get rid of my debt completely, and start saving money.  I am highly motivated to pay down my debts so that we can focus on our long term savings and investment goals.  Furthermore, I do not have, nor have I ever had, any bankruptcies, unpaid liens or judgments against me.  Should you have any questions about this loan request, please don't hesitate to contact me.  Monthly net income: $ 8,000.00   Monthly expenses: $   Mortgage 1: $ 1022.00   Mortgage 2: $   641.00   Insurance: $ 345.25    Property Taxes: $500   Car expenses: $ 0   Utilities: $ 397.00   Phone, cable, internet: $ 176.00   Food, household, entertainment: $ 800.00   Clothing, household expenses $ 200.00    Credit cards and other loans: $ 482.00*   Student Loans                      $ 107.00   Tithe: $800   Other expenses: $ 0.00   *These are the combined minimum payments for the loans/credit cards we are consolidating.  We've been paying away as much as we are able on our debts.  This loan will eliminate this payment.  Thank you so much for your time and consideration.",debt_consolidation,Debit Consolidation,535xx,WI,14.5,0,1/1/00,3,NA,NA,12,0,17717,67.4,26,f,NA,1
L0048,5500,5500,36 months,12.73%,184.62,C,C1,Tampa Truck Center LLC,3 years,MORTGAGE,42240,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=489723,Borrower added on 02/28/10 > I would like to pay off a couple of small credit card balances. The cards have been chopped up and thrown away. The credit card companies love college students - no more!<br/>,debt_consolidation,Tired of credit crunch!,335xx,FL,13.35,1,1/1/87,1,4,NA,5,0,15974,48.9,16,f,NA,1
L0049,12000,12000,36 months,5.79%,363.93,A,A2,KIC,10+ years,MORTGAGE,66000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=720840,,home_improvement,Home Improvement,857xx,AZ,12.58,0,10/1/96,1,NA,NA,11,0,5723,8.4,38,f,NA,1
L0050,12000,12000,36 months,11.71%,396.92,B,B3,Fox News Channel,6 years,RENT,86496,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1046328,Borrower added on 11/29/11 > This is to consolidate credit card debt into one monthly payment.<br>,debt_consolidation,Consolidation,115xx,NY,14.19,0,1/1/01,0,NA,NA,6,0,12915,85,12,f,NA,1
L0051,7800,7800,60 months,10.00%,165.73,B,B2,United Celebral Paulsy Assoc,10+ years,RENT,52656,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=737782,,medical,Loan,104xx,NY,7.7,0,9/1/84,0,34,NA,16,0,0,0,24,f,NA,1
L0052,16000,16000,60 months,22.35%,445.1,F,F5,Dynanet Corporation,1 year,MORTGAGE,120000,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1045966,"  Borrower added on 11/03/11 > This loan will serve two purposes, debt consolidation and medical expense.<br/>Borrower added on 11/03/11 > This loan will serve two purposes, debt consolidation and medical expense.<br/>",other,Consolidate,207xx,MD,21.16,4,7/1/86,1,4,NA,25,0,43109,72.3,49,f,NA,1
L0053,1925,1925,36 months,12.18%,64.11,B,B4,Vibe Teacher Recruitment,< 1 year,RENT,30000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=443451,"I am a 23 year old American student who has just completed a Master's degree in teaching in London. My dream is to stay in London for two years to teach and travel. My only obstacle at this moment is the visa extension process. In order to extend my stay in London, I must have proof that I have $1,600 sitting in my bank account untouched for three months prior to the application of visa extension. While I have now been employed as a teacher, I unfortunately will not have the money upfront to place in an account for the three months. For this loan, I am asking a lender to please loan me the $1,600 that will sit in the account for three months. I can easily makes payments during those three months and will be able to pay the loan in full shortly following the time I apply for my visa.",educational,Short Term Loan Needed for Student,272xx,SC,8.36,0,1/1/06,2,NA,NA,14,0,277,46.2,15,f,NA,1
L0054,10000,10000,36 months,5.42%,301.6,A,A1,KTTV 11 Fox TV,10+ years,MORTGAGE,120000,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=727920,,major_purchase,toyotaRV,913xx,CA,6.98,0,7/1/80,0,NA,NA,15,0,78330,28.6,31,f,NA,1
L0055,6000,6000,36 months,7.90%,187.75,A,A4,data net,< 1 year,RENT,23040,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1041468,Borrower added on 12/05/11 > Thank you!!<br><br> Borrower added on 12/05/11 > To pay off a higher interest rate from credit cards.<br>,credit_card,pay off,951xx,CA,12.66,0,12/1/98,0,63,NA,6,0,8282,62.3,11,f,NA,1
